student_id,name,dob,gender,email
s_1,Storm Guierre,2004-01-29,Female,sguierre0@clickbank.net
s_2,Curran Reignolds,1993-05-22,Male,creignolds1@wisc.edu
s_3,Matthias Little,2001-10-03,Male,mlittle2@google.com.au
s_4,Marcelo Grubbe,1993-06-30,Male,mgrubbe3@taobao.com
s_5,Catlaina Obee,2002-08-13,Female,cobee4@apple.com
s_6,Sophi Bims,1993-12-14,Female,sbims5@yahoo.com
s_7,Darn Peat,2002-10-15,Male,dpeat6@fotki.com
s_8,Heloise Magill,2001-08-29,Female,hmagill7@mashable.com
s_9,Kincaid McCreary,1997-03-03,Male,kmccreary8@bbc.co.uk
s_10,Amalea Avo,1996-03-15,Female,aavo9@cocolog-nifty.com
s_11,Malvina Dan,1993-11-24,Female,mdana@geocities.com
s_12,Merill Harnott,1998-02-17,Male,mharnottb@utexas.edu
s_13,Wilmette Carse,1992-02-20,Female,wcarsec@gov.uk
s_14,Luce Jenson,1990-01-20,Female,ljensond@dailymotion.com
s_15,Antonio Godman,1999-07-03,Male,agodmane@amazon.de
s_16,Charlot Escudier,2009-03-20,Female,cescudierf@apple.com
s_17,Adelheid Laviss,2001-01-02,Female,alavissg@go.com
s_18,Silvanus Deverille,1999-07-26,Male,sdeverilleh@yale.edu
s_19,Quintin Wagge,2000-03-14,Male,qwaggei@state.tx.us
s_20,Huberto Keough,1991-08-09,Male,hkeoughj@topsy.com
s_21,Hanny Cretney,2007-03-13,Female,hcretneyk@lycos.com
s_22,Creight Dawkins,1998-05-17,Male,cdawkinsl@walmart.com
s_23,Jemima Pedersen,2009-08-27,Female,jpedersenm@gmpg.org
s_24,Jobyna Gellert,2001-05-14,Female,jgellertn@google.it
s_25,Arlan McAree,1997-01-10,Male,amcareeo@sogou.com
s_26,Urbano Simioni,1994-12-13,Male,usimionip@amazon.co.jp
s_27,Ritchie Campe,1991-02-05,Male,rcampeq@deliciousdays.com
s_28,Ingaborg McKitterick,2007-01-25,Female,imckitterickr@wp.com
s_29,Issiah Kobke,2003-09-29,Male,ikobkes@xrea.com
s_30,Russ Sambell,1999-09-29,Male,rsambellt@photobucket.com
s_31,Gay Blaw,1998-05-18,Male,gblawu@ezinearticles.com
s_32,Lorna Quartermain,2005-01-18,Female,lquartermainv@hhs.gov
s_33,Regen Fritz,1998-12-09,Male,rfritzw@cam.ac.uk
s_34,Jerrylee Oertzen,2009-02-12,Female,joertzenx@ucla.edu
s_35,Jolynn Coles,2007-07-03,Female,jcolesy@plala.or.jp
s_36,Isac Bracegirdle,2005-07-18,Male,ibracegirdlez@unblog.fr
s_37,Winny Ivison,1997-08-06,Female,wivison10@hp.com
s_38,Sauveur Dowding,2003-09-02,Male,sdowding11@indiegogo.com
s_39,Frants Klus,2002-02-15,Male,fklus12@guardian.co.uk
s_40,Mureil Senten,1991-07-10,Female,msenten13@mapy.cz
s_41,Cristian Carrol,2005-11-14,Male,ccarrol14@blog.com
s_42,Michael Braxton,1999-01-07,Male,mbraxton15@admin.ch
s_43,Saundra Penniall,2004-08-30,Female,spenniall16@ca.gov
s_44,Lilyan Clemetts,2002-04-10,Female,lclemetts17@salon.com
s_45,Ricca Carcas,1993-03-25,Female,rcarcas18@weebly.com
s_46,Marlow Kalker,1996-07-27,Male,mkalker19@drupal.org
s_47,Catherine Saltmarsh,1998-02-04,Female,csaltmarsh1a@soundcloud.com
s_48,Ezri Yankov,1994-05-05,Male,eyankov1b@hostgator.com
s_49,Ulrich Gregersen,2004-07-25,Male,ugregersen1c@infoseek.co.jp
